時刻,気温（℃）,降水量（mm）,風向（16方位）,風速（m/s）,日照時間（分）
23時,-7.1,0.0,北東,3.0,0
22時,-8.1,0.0,北東,1.5,0
21時,-6.2,0.0,東,1.1,0
20時,-5.6,0.0,南南東,2.4,0
19時,-6.9,0.0,東南東,2.0,0
18時,-5.3,0.0,南東,2.9,0
17時,-4.9,0.0,南南東,4.5,0
16時,-4.5,0.0,南東,2.2,0
15時,-4.7,0.0,東南東,2.4,0
14時,-5.8,0.0,東南東,1.9,0
13時,-7.1,0.0,東南東,1.4,0
12時,-8.1,0.0,東,1.2,0
11時,-8.8,0.0,東南東,2.0,0
10時,-9.5,0.0,東,1.3,0
9時,-10.1,0.0,東,1.4,0
8時,-10.4,0.0,東,1.0,0
7時,-11.1,0.0,東,0.9,0
6時,-11.3,0.0,東,1.5,0
5時,-11.6,0.0,東,0.3,0
4時,-11.7,0.0,東南東,0.5,0
3時,-11.5,0.0,東北東,1.1,0
2時,-11.1,0.0,北,0.3,0
1時,-9.5,0.0,南東,0.5,0
0時,-9.3,0.0,南東,1.5,0
